Cytokine;Checkpoint;Chemokine;Growth_factor;Cell_adhesion
ACVR1;CD80;CCL11;ANG;CD209
ACVR1B;CD86;CCL13;ANGPT1;CD40LG
ACVR1C;CEACAM1;CCL14;ANGPT2;CDH1
ACVR2A;HHLA2;CCL17;ANGPT4;COL12A1
ACVR2B;HLA-C;CCL2;AREG;COL15A1
ACVRL1;HLA-DRB3;CCL5;BGN;COL2A1
AMH;PDCD1LG2;CXCL1;BSG;FGF2
AMHR2;PDCD1;CXCL2;BTC;FGF1
BMP10;CTLA4;CXCL8;CDH1;COL10A1
BMP15;NCR3;PPBP;DCN;DSC2
BMP2;HLA-DPA3;CCL22;EFEMP1;COL18A1
BMP3;HLA-DPB1;CCL23;EFNA1;COL19A1
BMP4;HLA-DPB2;CCL24;EFNA2;COL1A1
BMP5;HLA-DQB3;CCL3;EFNA3;COL24A1
BMP6;HLA-DRA;CCL3L1;EFNA4;COL26A1
BMP7;HLA-DRB1;CCL4;EFNA5;COL27A1
BMP8A;HLA-DRB2;CCL4L1;EFNB1;COL28A1
BMP8B;HLA-DRB4;CCL7;EFNB2;COL3A1
BMPR1A;HLA-DRB5;CCL8;EFNB3;COL4A1
BMPR1B;TNFSF18;CXCL16;EGF;LAMA5
BMPR2;TNFSF4;CCL19;EPGN;MADCAM1
C4BPA;HLA-B;CCL21;EPO;COL14A1
CD27;HLA-DPA2;CCL25;EREG;COL17A1
CD4;HLA-DQA1;CCL15;FGF1;COL1A2
CD40;TNFSF9;CCL16;FGF10;NID1
CD40LG;CLEC4G;CCL26;FGF16;CEACAM1
CD70;FGL1;CCL27;FGF17;COL11A1
CD74;HLA-DQA2;CCL28;FGF18;COL20A1
CD9;HLA-DQB1;CCL18;FGF19;COL21A1
CLCF1;HLA-DQB2;CXCL10;FGF2;COL22A1
CNTF;HLA-A;CXCL9;FGF20;COL13A1
CNTFR;PVR;CCL20;FGF21;FN1
CRLF1;HAVCR2;DEFB1;FGF22;COL11A2
CRLF2;HLA-DPA1;CCL1;FGF23;COL16A1
CSF1;KIR2DL2;RARRES2;FGF3;COL6A2
CSF1R;CD70;CX3CL1;FGF4;CD14
CSF2;CD96;CXCL6;FGF5;CD44
